GE180	19.56	40.51	0.0121	2.76    19.42
3He	2	3.0139	1.339	0.00125	54.28
GE180	19.56	40.51	0.2348	2.76    19.42
4He	2	3.9998	79.05	0.00166	876.67
Air	7	14.028	51.23	0.00121	36.81
Kapton	5	9.80	0.0254	1.42	40.61
